timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, left wing, pitch motor, yaw motor, right wing, voltage, roll rate, pitch rate, yaw rate, A_x, A_y, A_z, current, i_raw, v_raw, airflow_voltage, airflow_speed, pot_Pitch
111589, 0.0002922183193732053, -0.0008383727981708944, 0.002546887844800949, 0, 0, 0, 0, 0, 0, -0.7849658727645874, -1.0245500802993774, 0.07500377297401428, -0.02674675501298084, -0.5320026067569188, -12.748279205566817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
111599, 0.0013474127044901252, 0.0001324914483120665, 0.002930089132860303, 1.0967001529138543e-08, -7.39640393376817e-09, -7.687107427045703e-05, 2.331536052224692e-06, -1.5900180869721225e-06, -0.007592799607664347, -0.7849605083465576, -1.0245475769042969, 0.07502800226211548, -0.026421630629950777, -0.5285397935734295, -12.739976828118948, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.21369437873363495, 0.05418781191110611, -0.18033216893672943, 0, 0, 0, 0, 0, 0, 0, 0, 0
111609, 0.001243308070115745, -0.0002805822587106377, 0.002415386261418462, 4.117324436947456e-08, -2.5698081884684143e-08, -0.0001723728491924703, 3.776037829084089e-06, -1.9982198864454404e-06, -0.011507159098982811, -0.7849684953689575, -1.024543046951294, 0.07503581047058105, -0.02523708040286159, -0.5340312318348026, -12.737048464896326, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.09353940188884735, 0.5435152649879456, -0.08334682881832123, -0.07559610158205032, -0.028998693451285362, 0.9599941968917847, 0, 0, 0, 1.33154296875, 0.0198516845703125, 0
111619, 0.0007925703539513052, -0.0033416221849620342, 0.0017286482034251094, 7.78453497218834e-08, -5.67535956008669e-08, -0.0003070782695431262, 3.530058620526688e-06, -4.220016762701562e-06, -0.015433525666594505, -0.7849598526954651, -1.0245569944381714, 0.07501211762428284, -0.028748380457241696, -0.5327649911835124, -12.741647549966533, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.09159822762012482, -0.4366532266139984, -0.03933335095643997, -0.07669563591480255, -0.029959551990032196, 0.9633957743644714, 0, 0, 0, 1.34912109375, 0.015380859375, 1.49267578125
111629, 0.0010616128565743566, -0.001360626774840057, 0.001333481166511774, 1.1545961342562805e-07, -1.0920400939085084e-07, -0.00047954331967048347, 3.7990932924003573e-06, -6.2986014199850615e-06, -0.019059093669056892, -0.7849528789520264, -1.0245505571365356, 0.07500018179416656, -0.026525245937036812, -0.5335888485917906, -12.737129688352253, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.12527483701705933, -0.43698808550834656, 0.0005132808000780642, -0.07526292651891708, -0.02900940738618374, 0.96161949634552, 0, 0, 0, 1.3125, 0.034027099609375, 1.49267578125
111639, 0.00030098878778517246, 0.00011375560279702768, 0.0019558954518288374, 1.8096505982612143e-07, -1.787150551990635e-07, -0.0006888721836730838, 9.431528269487899e-06, -7.586048013763502e-06, -0.02280627377331257, -0.7849563956260681, -1.024544596672058, 0.07501993328332901, -0.02576629319305581, -0.5364762217129169, -12.741722916827289, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.009283280931413174, -0.3322479724884033, -0.024511873722076416, -0.07737237215042114, -0.027275726199150085, 0.9595233798027039, 0, 0, 0, 1.32568359375, 0.0232086181640625, 1.491943359375
111649, 0.0008163859602063894, 0.0015309257432818413, 0.0012879865244030952, 2.8645780503211427e-07, -2.63296158209414e-07, -0.0009367633610963821, 1.1769063348765485e-05, -9.38278481044108e-06, -0.02677156962454319, -0.7849594950675964, -1.0245428085327148, 0.07501131296157837, -0.02745552296811652, -0.5302869431974102, -12.741312839161662, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.064357228577137, -0.045979488641023636, -0.12818433344364166, -0.07827086746692657, -0.02704281359910965, 0.9581196308135986, 0, 0, 0, 1.3095703125, 0.037139892578125, 1.491943359375
111659, 0.001482936553657055, 0.002465195721015334, 0.002069892128929496, 4.0321549477084773e-07, -3.595927751121053e-07, -0.0012250363361090422, 1.1684133824019227e-05, -9.839553968049586e-06, -0.03088262304663658, -0.7849559187889099, -1.0245482921600342, 0.07500222325325012, -0.022796388257207107, -0.5312067775966796, -12.743538598005324, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.029377397149801254, -0.1528758704662323, -0.08583749085664749, -0.07558466494083405, -0.027614783495664597, 0.9598783254623413, 0, 0, 0, 1.346923828125, 0.015472412109375, 1.494140625
111669, 0.0013463000068441033, 0.0027440120466053486, 0.001898326794616878, 5.074820705885941e-07, -4.6469432390949805e-07, -0.0015537407016381621, 9.234010576619767e-06, -1.1134551641589496e-05, -0.034857846796512604, -0.7849544882774353, -1.0245530605316162, 0.07499589025974274, -0.02887793827175852, -0.5314029631360313, -12.745293085043722, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.054370954632759094, 0.12239246815443039, 0.4688984155654907, -0.07498316466808319, -0.02691638469696045, 0.9615384340286255, 0, 0, 0, 1.3974609375, 0.03759765625, 1.494140625
111679, 0.0009068371145986021, 0.0011410398874431849, 0.006088808178901672, 5.795383799522824e-07, -5.882425284653436e-07, -0.0019213759806007147, 5.1957813411718234e-06, -1.3584162843471859e-05, -0.038668807595968246, -0.7849496603012085, -1.0245569944381714, 0.07500730454921722, -0.022114567655268945, -0.535584489434541, -12.739779631121676, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.07423129677772522, -0.10698363929986954, -0.3017153739929199, -0.0741124078631401, -0.026172760874032974, 0.9599583745002747, 0, 0, 0, 1.329345703125, 0.02105712890625, 1.49267578125
