timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, left wing, pitch motor, yaw motor, right wing, voltage, roll rate, pitch rate, yaw rate, A_x, A_y, A_z, current, i_raw, v_raw, airflow_voltage, airflow_speed, pot_Pitch
54931, 0.0011815177276730537, 0.0011469571618363261, 0.0010837408481165767, 0, 0, 0, 0, 0, 0, -0.8615792393684387, -1.049486756324768, 0.0542365126311779, 0.4789426878861431, -0.287746915158948, 4.048639174957046, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54941, 0.0017434650799259543, -0.0002469955070409924, 6.1000362620688975e-05, -1.0599022992607843e-08, -1.091878853998196e-08, 5.235552089288831e-05, -2.0067889181518694e-06, -2.1525377178477356e-06, 0.005120931193232536, -0.861585795879364, -1.0495117902755737, 0.05422976613044739, 0.4820345789273891, -0.29595754741151836, 4.071133126056249, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.02552608959376812, 0.11423458158969879, -0.11348342895507812, -0.07391425222158432, -0.008043377660214901, 1.025791049003601, 0, 0, 0, 0, 0, 0
54951, 0.002297616796568036, -0.00029930981690995395, -0.001193798379972577, -2.849897740020424e-08, -4.774679496222234e-08, 0.00011595763498917222, -1.571005668665748e-06, -5.2370478442753665e-06, 0.007599886506795883, -0.8615885972976685, -1.0495010614395142, 0.0542377308011055, 0.48324963777969376, -0.29135594010372756, 4.072134398555184, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.1089564636349678, 0.14191462099552155, 0.06414584815502167, -0.07494720071554184, -0.008760185912251472, 1.0256859064102173, 0, 0, 0, 1.48388671875, 0.1642303466796875, 0
54961, 0.0017771945567801595, 0.0005622757016681135, -0.0030146120116114616, -4.158185618052812e-08, -1.202877228934085e-07, 0.0002044467255473137, -1.0832660564119578e-06, -9.24846335692564e-06, 0.010098325088620186, -0.8615848422050476, -1.0495091676712036, 0.05425518378615379, 0.4884452127658032, -0.2943593383602092, 4.073574797789657, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.00537664582952857, -0.09453947097063065, -0.23005960881710052, -0.07658690959215164, -0.010859115980565548, 1.0260432958602905, 0, 0, 0, 1.47216796875, 0.142547607421875, 1.50146484375
54971, 0.0024758491199463606, -0.0029705874621868134, -0.0031030939426273108, -5.735633834547116e-08, -2.2838916891032568e-07, 0.0003184158122166991, -1.9114856968371896e-06, -1.2403505024849437e-05, 0.012695888057351112, -0.8615850210189819, -1.0495163202285767, 0.05423843860626221, 0.48025164124138386, -0.29792378066974834, 4.077654583337854, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.004358361475169659, -0.19380907714366913, -0.26340726017951965, -0.07447107136249542, -0.012576553039252758, 1.027226448059082, 0, 0, 0, 1.50146484375, 0.1985626220703125, 1.50146484375
54981, 0.0028119017370045185, -0.002831309800967574, -0.004556961357593536, -5.036647721112786e-08, -3.7418365650410124e-07, 0.00045839615631848574, 3.303016683275928e-06, -1.6770800357335247e-05, 0.015300584957003593, -0.8615972995758057, -1.049509882926941, 0.05423639342188835, 0.4797421727205252, -0.29581037859119874, 4.0791156908158595, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.19644063711166382, -0.06695379316806793, -0.01152876392006874, -0.07477805763483047, -0.010325118899345398, 1.0270313024520874, 0, 0, 0, 1.48681640625, 0.1698150634765625, 1.497802734375
54991, 0.0035057778004556894, -0.002326914807781577, -0.004492201842367649, 7.554191938652366e-09, -5.666154265782097e-07, 0.0006246371776796877, 8.257816261902917e-06, -2.1747604478150606e-05, 0.01794801652431488, -0.8615934252738953, -1.0495033264160156, 0.05423649400472641, 0.48060931328472156, -0.29482697136415936, 4.0753366880466215, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.0026055010966956615, -0.18518191576004028, -0.21598751842975616, -0.07457827776670456, -0.008570967242121696, 1.0270068645477295, 0, 0, 0, 1.4296875, 0.07464599609375, 1.497802734375
55001, 0.003919275477528572, -0.002054049400612712, -0.005910125095397234, 1.1059734816853961e-07, -8.149296490955749e-07, 0.0008175866678357124, 1.233783314091852e-05, -2.7934776881011203e-05, 0.02064228057861328, -0.8615917563438416, -1.0494990348815918, 0.05422917753458023, 0.48396862992088585, -0.3038778743509454, 4.07372807991214, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.04970056191086769, 0.1741241067647934, 0.15257704257965088, -0.07604917883872986, -0.008769326843321323, 1.027053952217102, 0, 0, 0, 1.490478515625, 0.1768646240234375, 1.500732421875
55011, 0.004444680642336607, -0.0012035182444378734, -0.006109580863267183, 2.5202342612828943e-07, -1.1287223742328933e-06, 0.0010370324598625302, 1.5908693967503496e-05, -3.484766784822568e-05, 0.02324727363884449, -0.8616088628768921, -1.0495145320892334, 0.054268211126327515, 0.4906852968608514, -0.2864161718196385, 4.0796129158426115, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.025437263771891594, -0.2541640102863312, -0.38336482644081116, -0.07469184696674347, -0.009630437940359116, 1.027511477470398, 0, 0, 0, 1.4765625, 0.1505584716796875, 1.500732421875
55021, 0.0046697864308953285, 0.001786216744221747, -0.0075476402416825294, 4.216907143472781e-07, -1.5162894442255492e-06, 0.0012829003389924765, 1.7884784028865397e-05, -4.2676329030655324e-05, 0.02592669054865837, -0.8615893721580505, -1.0494951009750366, 0.0542403906583786, 0.48816883463131344, -0.29407533355973214, 4.076235597629691, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.10293460637331009, -0.23871394991874695, -0.1330605298280716, -0.07685516029596329, -0.011298592202365398, 1.0273702144622803, 0, 0, 0, 1.461181640625, 0.1233062744140625, 1.4970703125
55031, 0.004864766262471676, 0.003806348191574216, -0.009243858978152275, 5.848181672263308e-07, -1.984134996746434e-06, 0.0015557499136775732, 1.4644687325926498e-05, -5.090193008072674e-05, 0.028643615543842316, -0.8615914583206177, -1.049509048461914, 0.05425463616847992, 0.4796699924061108, -0.29358693535664315, 4.072577664644594, 9362.0, 30146.0, 35388.0, 9362.0, 8.350414276123047, 0.23291461169719696, -0.24260278046131134, -0.2020886391401291, -0.07558149099349976, -0.010222054086625576, 1.0262383222579956, 0, 0, 0, 1.4296875, 0.07464599609375, 1.4970703125
55041, 0.006155037321150303, 0.006358655635267496, -0.011720031499862671, 6.9781276579306e-07, -2.5358942821185337e-06, 0.0018551275134086609, 7.838587407604791e-06, -5.950790728093125e-05, 0.031232288107275963, -0.8615919947624207, -1.0494998693466187, 0.05425180867314339, 0.48090688988085223, -0.29633996817136676, 4.080735517719466, 9362.0, 30146.0, 35388.0, 9362.0, 8.350414276123047, 0.10883475840091705, -0.08284329622983932, -0.03463580831885338, -0.07265964895486832, -0.009823768399655819, 1.0280632972717285, -0.09217642992734909, -0.10231781005859375, 1.487548828125, 1.4736328125, 0.1452178955078125, 1.4970703125
55051, 0.006527010817080736, 0.005845373496413231, -0.011521528474986553, 7.202778533610399e-07, -3.1850811410549795e-06, 0.002180733485147357, -3.321735903227818e-06, -7.034675218164921e-05, 0.0338892936706543, -0.8615912795066833, -1.0495015382766724, 0.05423663184046745, 0.48352161179316844, -0.29707658547738447, 4.070633704969293, 9362.0, 30146.0, 35388.0, 9362.0, 8.350414276123047, 0.11346803605556488, -0.006258596666157246, 0.03759085014462471, -0.0732266902923584, -0.009321563877165318, 1.0297150611877441, -0.09217642992734909, -0.10231781005859375, 1.487548828125, 1.4501953125, 0.1050872802734375, 1.4970703125
