timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, left wing, pitch motor, yaw motor, right wing, voltage, roll rate, pitch rate, yaw rate, A_x, A_y, A_z, current, i_raw, v_raw, airflow_voltage, airflow_speed, pot_Pitch, voltage_nKF, kFFx, state, State, volt_KF
32498, -0.3054174780845642, 5.481262683868408, 1.227576494216919, 0, 0, 0, 0, 0, 0, -0.8190230131149292, -0.9764050245285034, 0.0541568286716938, -2.858439790861658, -0.7027074420787471, 176.9339753165964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32508, -0.30529627203941345, 5.47995662689209, 1.22817862033844, 0.0017800305504351854, -6.119633326306939e-05, -15.881333351135254, 0.0796610489487648, -0.0027388737071305513, -1.0255279541015625, -0.8190037608146667, -0.9764054417610168, 0.05417260527610779, -2.8583886585867178, -0.6974967033361565, 176.93122377386652, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.04234040901064873, 0.19738560914993286, -0.042983975261449814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32518, -0.30550268292427063, 5.478823184967041, 1.2288810014724731, 0.0025299570988863707, -8.698212332092226e-05, -15.891592979431152, 0.07032422721385956, -0.002418381627649069, -1.0264214277267456, -0.819073498249054, -0.9764291048049927, 0.05418059602379799, -2.884846003721013, -0.7603842633124316, 176.9387119995511, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.04189179837703705, -0.19858084619045258, 0.487272709608078, -0.07601776719093323, -0.04403067007660866, 0.9967716336250305, 0, 0, 0, 1.4619140625, 0.1246185302734375, 0, 1.573974609375, 10.0, 1.0, 10.0, 1.4661998748779297
32528, -0.30592411756515503, 5.4800567626953125, 1.2321758270263672, 0.0031864691991358995, -0.00010956230835290626, -15.901861190795898, 0.06097815930843353, -0.002097770106047392, -1.0271955728530884, -0.8190721273422241, -0.9764597415924072, 0.054213911294937134, -2.909820985178913, -0.7527601569459819, 176.93213763616174, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.18688471615314484, -0.2601138651371002, 0.19023573398590088, -0.07657590508460999, -0.04480789229273796, 0.9952008128166199, 0, 0, 0, 1.494140625, 0.183990478515625, 1.491943359375, 1.549072265625, 10.0, 1.0, 10.0, 1.4663459062576294
32538, -0.30429691076278687, 5.481810569763184, 1.2333728075027466, 0.003749590367078781, -0.00012893705570604652, -15.912137985229492, 0.051646098494529724, -0.0017777156317606568, -1.0280953645706177, -0.8190863728523254, -0.9764109253883362, 0.05424967035651207, -2.8724283528686425, -0.7430572574882603, 176.91645818886425, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.001292765373364091, -0.15240347385406494, -0.1537921279668808, -0.07402079552412033, -0.04350098595023155, 0.9980441331863403, 0, 0, 0, 1.505859375, 0.2073974609375, 1.491943359375, 1.50439453125, 10.0, 1.0, 10.0, 1.4666602611541748
32548, -0.3041072189807892, 5.483078479766846, 1.2322396039962769, 0.0042192768305540085, -0.00014510702749248594, -15.922422409057617, 0.042291246354579926, -0.0014564803568646312, -1.028780460357666, -0.8213114738464355, -0.9755663275718689, 0.05608205869793892, -1.9161904150527074, -1.8205167850317139, 176.63530760038134, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.03014049120247364, -0.24219033122062683, 0.11854730546474457, -0.07561668753623962, -0.042001329362392426, 0.9942684173583984, 0, 0, 0, 1.461181640625, 0.1233062744140625, 1.494873046875, 1.5556640625, 10.0, 1.0, 10.0, 1.4668904542922974
32558, -0.3047059178352356, 5.484254837036133, 1.2337024211883545, 0.004595497623085976, -0.00015808313037268817, -15.932714462280273, 0.03295289725065231, -0.0011385568650439382, -1.0296677350997925, -0.821310818195343, -0.9755854606628418, 0.05604153126478195, -1.939418089464882, -1.836647835194782, 176.65255216655902, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.033269159495830536, -0.08842213451862335, -0.35368266701698303, -0.07658841460943222, -0.039548251777887344, 0.9956923723220825, 0, 0, 0, 1.493408203125, 0.1825714111328125, 1.494873046875, 1.5380859375, 10.0, 1.0, 10.0, 1.4670019149780273
32568, -0.3044900596141815, 5.484886169433594, 1.2326499223709106, 0.004878329113125801, -0.00016788110951893032, -15.943016052246094, 0.023613404482603073, -0.0008212756365537643, -1.030565857887268, -0.8190360069274902, -0.9764456748962402, 0.05418916046619415, -2.88779933862747, -0.7081451776263918, 176.92885960419977, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.024440649896860123, -0.17682534456253052, 0.06895188242197037, -0.07572142034769058, -0.040768761187791824, 0.9956831932067871, 0, 0, 0, 1.54833984375, 0.298126220703125, 1.491943359375, 1.5556640625, 10.0, 1.0, 10.0, 1.467221736907959
32578, -0.305101215839386, 5.486515045166016, 1.2337355613708496, 0.005067730788141489, -0.00017450173618271947, -15.953326225280762, 0.014266962185502052, -0.0005026774015277624, -1.0314127206802368, -0.8213038444519043, -0.9755717515945435, 0.05604172125458717, -1.9219047542609324, -1.813284697337366, 176.63925154396046, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.1772417277097702, -0.13386578857898712, 0.05616794154047966, -0.0749911367893219, -0.040379978716373444, 0.9952446222305298, 0, 0, 0, 1.53369140625, 0.265960693359375, 1.491943359375, 1.55859375, 10.0, 1.0, 10.0, 1.4672929048538208
32588, -0.30545711517333984, 5.4874958992004395, 1.2346100807189941, 0.005163691006600857, -0.0001779384328983724, -15.963644981384277, 0.004925066605210304, -0.00018483879102859646, -1.0323179960250854, -0.8212761878967285, -0.9755218029022217, 0.05601359158754349, -1.8854023973956546, -1.7993650974674438, 176.65513436332984, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.015419923700392246, -0.21645598113536835, -0.12865804135799408, -0.076055608689785, -0.04088364914059639, 0.9955039024353027, 0, 0, 0, 1.571044921875, 0.349578857421875, 1.494873046875, 1.538818359375, 10.0, 1.0, 10.0, 1.467585802078247
