timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, left wing, pitch motor, yaw motor, right wing, voltage, roll rate, pitch rate, yaw rate, A_x, A_y, A_z, current, i_raw, v_raw, airflow_voltage, airflow_speed, pot_Pitch, voltage_nKF, kFFx, state_vel, State_vel, volt_KF_vel
36778, 1.6318130493164062, 8.488471984863281, -7.340047836303711, 0, 0, 0, 0, 0, 0, -0.8292257189750671, -0.9704288244247437, 0.056036531925201416, -0.11257646282029318, -0.33711702958609635, 5.711152552571156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36788, 1.6339315176010132, 8.487604141235352, -7.343016624450684, 0.0020911716856062412, 0.0001308394130319357, -10.760387420654297, 0.04765619337558746, 0.002983398037031293, -0.6084736585617065, -0.82914137840271, -0.9704650640487671, 0.0561215840280056, -0.1475958307695404, -0.3224929046265572, 5.730079383803897, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.16586367785930634, -0.07898232340812683, -0.12408114224672318, -0.000575824873521924, -0.05827654153108597, 0.9970366358757019, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36798, 1.6350882053375244, 8.488035202026367, -7.346013069152832, 0.002494387561455369, 0.0001560800737934187, -10.7664794921875, 0.03298690915107727, 0.0020654676482081413, -0.6098757982254028, -0.8291506171226501, -0.9704703688621521, 0.0560925267636776, -0.15662765496726053, -0.3246766236895553, 5.725516783002679, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.15903589129447937, -0.19886411726474762, -0.31720036268234253, -0.0017174318199977279, -0.055909641087055206, 0.9981912970542908, 0, 0, 0, 0.840087890625, 8.3499755859375, 0, 0.979248046875, 10.0, 1.0, 10.0, 1.388085961341858
36808, 1.636251449584961, 8.489052772521973, -7.34548807144165, 0.0027508512139320374, 0.00017212232341989875, -10.772584915161133, 0.01830577664077282, 0.00114373117685318, -0.6111935377120972, -0.8292339444160461, -0.9704256057739258, 0.05607597529888153, -0.11406995341231023, -0.3401028361582519, 5.702876582199352, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.032125044614076614, 0.0055429888889193535, 0.1114191934466362, -0.0023804062511771917, -0.05528249219059944, 0.9988085627555847, 0, 0, 0, 1.1103515625, 1.1422271728515625, 1.493408203125, 1.458984375, 10.0, 1.0, 10.0, 1.3891700506210327
36818, 1.6368392705917358, 8.491450309753418, -7.345517158508301, 0.002860491396859288, 0.0001789412781363353, -10.778703689575195, 0.003622331190854311, 0.0002199058362748474, -0.6125025749206543, -0.8292296528816223, -0.9704153537750244, 0.05606542527675629, -0.11629123667838094, -0.3376184273498666, 5.709504269313855, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.02717621996998787, -0.12711362540721893, -0.16478334367275238, -0.0014012509491294622, -0.05651167035102844, 0.9989174008369446, 0, 0, 0, 0.9287109375, 4.90576171875, 1.493408203125, 1.16455078125, 10.0, 1.0, 10.0, 1.3876954317092896
36828, 1.636642336845398, 8.491064071655273, -7.347574710845947, 0.0028231830801814795, 0.00017650598601903766, -10.784834861755371, -0.011083928868174553, -0.0007069758139550686, -0.6136745810508728, -0.8292266130447388, -0.9704306721687317, 0.05605979263782501, -0.12090787978422947, -0.3440138021586563, 5.711116716832027, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.018293654546141624, -0.28118643164634705, -0.2652205228805542, -0.0013264187145978212, -0.055933866649866104, 0.9966920018196106, 0, 0, 0, 0.95068359375, 4.2411346435546875, 1.490478515625, 1.48828125, 10.0, 1.0, 10.0, 1.3871434926986694
36838, 1.6388417482376099, 8.494141578674316, -7.349297523498535, 0.0026389050763100386, 0.00016480666818097234, -10.79097843170166, -0.025771725922822952, -0.0016323544550687075, -0.6149962544441223, -0.8291499018669128, -0.9704759120941162, 0.056096211075782776, -0.1495253794115161, -0.3358037576834363, 5.7205568328640615, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.09111372381448746, -0.2916124165058136, -0.3977837562561035, -0.0026179125998169184, -0.05555390194058418, 0.9979649186134338, 0, 0, 0, 0.64892578125, 21.226486206054688, 1.490478515625, 1.723388671875, 10.0, 1.0, 10.0, 1.3874350786209106
36848, 1.6398308277130127, 8.495840072631836, -7.350523471832275, 0.002307804301381111, 0.0001438607432646677, -10.797135353088379, -0.040448375046253204, -0.0025564359966665506, -0.616387128829956, -0.8291698098182678, -0.970465898513794, 0.05611909180879593, -0.16087144991891145, -0.3310866321028527, 5.731638284101089, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.10732981562614441, -0.06031230092048645, 0.007728648371994495, -0.00303935119882226, -0.0552242249250412, 0.9978457093238831, 0, 0, 0, 1.5966796875, 0.409210205078125, 1.4912109375, 1.017333984375, 10.0, 1.0, 10.0, 1.387471318244934
36858, 1.6378213167190552, 8.49610424041748, -7.348565101623535, 0.001829836517572403, 0.00011365632235538214, -10.803305625915527, -0.05514517426490784, -0.0034841541200876236, -0.6176831722259521, -0.8291535377502441, -0.9704638719558716, 0.05607965588569641, -0.1485336493178491, -0.32676183889500976, 5.7273633962993875, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.04120084270834923, -0.31691473722457886, 0.005533342249691486, -0.0031721529085189104, -0.05439569801092148, 0.9984415173530579, 0, 0, 0, 1.4677734375, 0.1347198486328125, 1.4912109375, 0.95361328125, 10.0, 1.0, 10.0, 1.3869109153747559
36868, 1.637984037399292, 8.496296882629395, -7.347443103790283, 0.0012048822827637196, 7.41695475880988e-05, -10.809489250183105, -0.06984566152095795, -0.004413668531924486, -0.6189752221107483, -0.8291566967964172, -0.970459520816803, 0.056103914976119995, -0.17131214963158314, -0.3258375897419796, 5.731202610744306, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.05956186726689339, -0.022032853215932846, -0.03035556524991989, -0.0020894883200526237, -0.05608765035867691, 0.9990378022193909, 0, 0, 0, 1.160888671875, 0.6495208740234375, 1.490478515625, 0.917724609375, 10.0, 1.0, 10.0, 1.3859082460403442
