timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, left wing, pitch motor, yaw motor, right wing, voltage, roll rate, pitch rate, yaw rate, A_x, A_y, A_z, current, i_raw, v_raw, airflow_voltage, airflow_speed, pot_Pitch, voltage_nKF, kFFx, state_vel, State_vel, volt_KF_vel
69321, -1.1100125312805176, -1.7679877281188965, -170.9046630859375, -0.863368570804596, -0.9542872905731201, 0.9467176198959351, -0.16577735543251038, 0.09271474182605743, -0.8935259580612183, -0.9163610935211182, -0.9782718420028687, 0.663144588470459, 2.4326478538230205, 3.0363824400083956, -173.16943898637504, 35364.0, 31428.0, 26227.0, 35424.0, 7.814876556396484, 100.82946014404297, -5.246481418609619, -340.8578796386719, -0.44223925471305847, -0.40695908665657043, 3.125506639480591, 0.9735766053199768, 1.2327156066894531, 1.5966796875, 1.616455078125, 0.456512451171875, 1.597412109375, 1.70361328125, 10.0, 1.0, 10.0, 1.6625652313232422
69341, -0.4395074248313904, -1.6971876621246338, -174.48733520507812, -0.8656099438667297, -0.9554457664489746, 0.9355663657188416, -0.17176423966884613, 0.08029018342494965, -0.7697128057479858, -0.9229503870010376, -0.9780280590057373, 0.6421564221382141, -0.9043822015883186, 0.5868883851131557, -167.02072814654701, 35838.0, 30638.0, 24528.0, 37514.0, 7.814876556396484, -0.35089248418807983, 1.1109158992767334, -293.0205993652344, 0.05170821398496628, -0.4538975656032562, 1.1389153003692627, 0.9735766053199768, 1.2327156066894531, 1.5966796875, 1.653076171875, 0.54644775390625, 1.597412109375, 1.70361328125, 10.0, 1.0, 10.0, 1.6625652313232422
69421, 0.43913009762763977, -0.28706231713294983, -177.44410705566406, -0.8777087330818176, -0.9533433318138123, 0.8746686577796936, -0.18088096380233765, 0.07111062109470367, -0.8200905919075012, -0.936431348323822, -0.980636477470398, 0.5509966611862183, 1.553784071674513, 2.8090984258902267, -173.2283196190307, 36383.0, 30662.0, 29951.0, 37572.0, 7.775207042694092, 41.252540588378906, -0.35020703077316284, 83.86650085449219, -0.11755958944559097, -0.7075625061988831, 1.7888824939727783, 0.9735766053199768, 1.2327156066894531, 1.5966796875, 1.701416015625, 0.671722412109375, 1.5263671875, 1.7021484375, 10.0, 1.0, 10.0, 1.6625652313232422
69501, 1.6209185123443604, 0.6113107800483704, 175.3721466064453, -0.8840649724006653, -0.9550957083702087, 0.8461112976074219, -0.18118518590927124, 0.06412230432033539, -0.8859917521476746, -0.93929123878479, -0.981103777885437, 0.4712606370449066, 0.0682048293232653, 4.666495737690127, -159.20904031144147, 36322.0, 31662.0, 26589.0, 38637.0, 7.715703010559082, -21.71975326538086, -3.4480228424072266, 304.4326477050781, 0.4437316656112671, -0.5941997170448303, 0.7804633975028992, 0.9735766053199768, 1.2327156066894531, 1.5966796875, 1.72265625, 0.7302093505859375, 1.53515625, 1.72705078125, 10.0, 1.0, 10.0, 1.6625652313232422
69521, 1.518498182296753, 0.7957037091255188, -179.75473022460938, -0.894008457660675, -0.9563592076301575, 0.796032190322876, -0.17330609261989594, 0.06385080516338348, -0.8731558322906494, -0.9425097703933716, -0.9811616539955139, 0.4506407678127289, 0.756329566065037, 4.869256850769347, -178.47230738168722, 36322.0, 31662.0, 26589.0, 38637.0, 7.715703010559082, -25.777421951293945, -64.59722137451172, 577.2774658203125, 0.4437316656112671, -0.5941997170448303, 0.7804633975028992, 0.9735766053199768, 1.2327156066894531, 1.5966796875, 1.69189453125, 0.6463165283203125, 1.55126953125, 1.72705078125, 10.0, 1.0, 10.0, 1.6625652313232422
69641, 0.7143457531929016, 2.8614745140075684, 176.25997924804688, -0.9123667478561401, -0.9598476886749268, 0.6895566582679749, -0.14162977039813995, 0.04965388774871826, -0.9421519041061401, -0.9361662268638611, -0.985085666179657, 0.31895026564598083, 1.648995451108608, 2.1552703686084556, -172.15341572030772, 36276.0, 31163.0, 26370.0, 38404.0, 7.755372524261475, -170.73121643066406, 31.69270896911621, 1215.1654052734375, -0.2943233847618103, 0.8592960834503174, 0.9393916130065918, 0.9735766053199768, 1.2327156066894531, 1.5966796875, 1.72265625, 0.7302093505859375, 1.517578125, 1.705078125, 10.0, 1.0, 10.0, 1.6625652313232422
69661, -1.2139403820037842, 3.1376631259918213, -174.04562377929688, -0.9152977466583252, -0.9635100364685059, 0.6736434698104858, -0.1312878280878067, 0.03999670222401619, -0.9064527153968811, -0.9358837604522705, -0.9854433536529541, 0.294503778219223, 2.0499140264591773, 0.18794868258837027, 172.401582450405, 36276.0, 31163.0, 26370.0, 38404.0, 7.755372524261475, 135.70065307617188, -29.00321388244629, 1005.6912841796875, 0.26973390579223633, 0.16395388543605804, 0.2092960774898529, 0.9735766053199768, 1.2327156066894531, 1.5966796875, 1.69482421875, 0.6540374755859375, 1.513916015625, 1.705078125, 10.0, 1.0, 10.0, 1.6625652313232422
69681, -0.5606256127357483, 4.165284156799316, -169.57012939453125, -0.9152977466583252, -0.9635100364685059, 0.6736434698104858, -0.1312878280878067, 0.03999670222401619, -0.9064527153968811, -0.9333881139755249, -0.9855775237083435, 0.27764779329299927, 3.0378042641203775, -0.6851743235037304, -178.8793559102505, 36862.0, 29052.0, 24252.0, 38213.0, 7.755372524261475, -258.4361877441406, -33.671085357666016, 158.02210998535156, 0.6837602853775024, 1.3473433256149292, 2.2327890396118164, 0.9735766053199768, 1.2327156066894531, 1.5966796875, 1.720458984375, 0.7240447998046875, 1.513916015625, 1.73583984375, 10.0, 1.0, 10.0, 1.6625652313232422
69781, -2.0743072032928467, 5.596539497375488, -175.55316162109375, -0.9289903044700623, -0.9683492183685303, 0.5549190640449524, -0.047195158898830414, -0.007310080341994762, -0.9846681952476501, -0.9252808690071106, -0.9849807024002075, 0.20872686803340912, 4.453789583104659, -1.7826279581871916, -166.46211090442262, 38142.0, 30386.0, 28803.0, 37638.0, 7.755372524261475, -125.77034759521484, 21.035442352294922, 846.2239990234375, -0.5587642788887024, -0.3434973955154419, 0.4550905227661133, 0.9735766053199768, 1.2327156066894531, 1.5966796875, 1.660400390625, 0.5649566650390625, 1.46923828125, 1.6875, 10.0, 1.0, 10.0, 1.6625652313232422
69821, -1.4392008781433105, 6.188148021697998, -174.66873168945312, -0.9289903044700623, -0.9683492183685303, 0.5549190640449524, -0.047195158898830414, -0.007310080341994762, -0.9846681952476501, -0.9257228374481201, -0.9873921275138855, 0.17225004732608795, 5.0007185571659765, -3.077417552428386, -174.8730656721616, 37368.0, 29013.0, 17876.0, 38977.0, 7.795042037963867, -124.12745666503906, -17.26560401916504, -316.238525390625, -0.5783776044845581, 0.6823787093162537, 0.11890104413032532, 0.9735766053199768, 1.2327156066894531, 1.5966796875, 1.62158203125, 0.46893310546875, 1.46923828125, 1.65673828125, 10.0, 1.0, 10.0, 1.6625652313232422
