timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, left wing, pitch motor, yaw motor, right wing, voltage, roll rate, pitch rate, yaw rate, A_x, A_y, A_z, current, i_raw, v_raw, airflow_voltage, airflow_speed, pot_Pitch
63443, 0.000897168240044266, -0.00013997794303577393, -0.0015563800698146224, 0, 0, 0, 0, 0, 0, -0.8195546269416809, -1.0178940296173096, 0.05114425718784332, -0.5013914925996705, -1.0770378724743068, 4.073104939046947, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
63453, 0.0009061663295142353, 0.0007828453672118485, -0.0025543044321238995, 0.0, 0.0, -3.098626621067524e-06, -1.5137745501547784e-09, 9.704029579893358e-09, -0.0006197249749675393, -0.8195458054542542, -1.0178806781768799, 0.05114688351750374, -0.5101800023012618, -1.078754861951296, 4.070181592846872, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.027856266126036644, 0.30365484952926636, 0.10161008685827255, -0.12629446387290955, -0.015282733365893364, 0.9904881119728088, 0, 0, 0, 0, 0, 0
63463, 0.0012132910778746009, -0.0008899936219677329, -0.002915668999776244, 1.1738583438614114e-09, -7.525001954888921e-09, -1.3032142305746675e-05, 2.48288131388108e-07, -1.5145916449910146e-06, -0.0013666065642610192, -0.8195379972457886, -1.0178953409194946, 0.05116454139351845, -0.5002094424994469, -1.0812077825379447, 4.072127772084935, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.009150682017207146, 0.04787799343466759, 0.16824714839458466, -0.12546545267105103, -0.014732759445905685, 0.9927104115486145, 0, 0, 0, 1.516845703125, 0.23004150390625, 0
63473, 0.00047522506793029606, -0.0005190908559598029, -0.003057640278711915, -2.9841826787446735e-09, -3.0357270475178666e-08, -3.118094173260033e-05, -1.1060691349484841e-06, -3.0470489491563058e-06, -0.002262755064293742, -0.8195434808731079, -1.0178931951522827, 0.051142122596502304, -0.5093893898344017, -1.0754070700443776, 4.073867426222623, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.09215549379587173, -0.01021366473287344, 0.10579457134008408, -0.12692208588123322, -0.013928230851888657, 0.9941001534461975, 0, 0, 0, 1.54833984375, 0.298126220703125, 1.493408203125
63483, -0.00026040233206003904, -0.00043578853365033865, -0.0027750288136303425, -6.485356696117606e-09, -7.113440858574904e-08, -5.761109059676528e-05, 4.107489246507612e-07, -5.1181741582695395e-06, -0.003022880991920829, -0.8195411562919617, -1.0178897380828857, 0.051151689141988754, -0.5098656754788744, -1.0799112518986647, 4.070111919298175, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.026531077921390533, -0.1797429472208023, 0.19290874898433685, -0.12791764736175537, -0.015876121819019318, 0.9923588037490845, 0, 0, 0, 1.540283203125, 0.280364990234375, 1.493408203125
63493, -0.0006105508073233068, -0.0002818569482769817, -0.0004656931268982589, 2.039913571394436e-09, -1.263610300838991e-07, -9.069489897228777e-05, 1.2951380767844967e-06, -5.934471573709743e-06, -0.00359348370693624, -0.8195316791534424, -1.0178837776184082, 0.0512288473546505, -0.5065968716031091, -1.0902073696911714, 4.06929387762902, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.0976010337471962, -0.20515874028205872, -0.06128721684217453, -0.12662234902381897, -0.018284551799297333, 0.9927778244018555, 0, 0, 0, 1.55126953125, 0.304718017578125, 1.491943359375
63503, -0.0006061074091121554, 0.0002847197465598583, -0.0007538539939559996, 1.8695095249654514e-08, -1.83492815608588e-07, -0.00013018352910876274, 2.0377883629407734e-06, -5.496196536114439e-06, -0.004303846973925829, -0.8195545077323914, -1.0178941488265991, 0.05113709717988968, -0.5046220268510877, -1.071067505719384, 4.074359736142716, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.05411910265684128, -0.07166110724210739, -0.14919425547122955, -0.12566302716732025, -0.017326030880212784, 0.993637204170227, 0, 0, 0, 1.587158203125, 0.3869171142578125, 1.491943359375
63513, -0.0016192381735891104, 0.002404160099104047, -0.00233632605522871, 4.1469149891781854e-08, -2.332643731506323e-07, -0.0001766387722454965, 2.5237802674382692e-06, -4.4580656322068535e-06, -0.004986801650375128, -0.8195381760597229, -1.0178883075714111, 0.051161233335733414, -0.5095154785521867, -1.0780431396723884, 4.0765529082543335, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.15569578111171722, 0.1826269030570984, 0.20311188697814941, -0.12467863410711288, -0.017287762835621834, 0.9926109313964844, 0, 0, 0, 1.541748046875, 0.2835540771484375, 1.4912109375
63523, -0.002067376160994172, 0.002559951040893793, -0.0010681680869311094, 6.428621190934791e-08, -2.7269163638266036e-07, -0.00022985434043221176, 2.0644079086196143e-06, -3.439199190324871e-06, -0.00565591873601079, -0.8195435404777527, -1.0178955793380737, 0.05114509165287018, -0.5041112900668742, -1.0762606579123997, 4.065708216460154, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.052117034792900085, -0.07629263401031494, -0.11128558963537216, -0.1245233342051506, -0.01652698405086994, 0.9913659691810608, 0, 0, 0, 1.546875, 0.2949676513671875, 1.4912109375
63533, -0.0015803449787199497, 0.003857055678963661, -0.0023867443669587374, 6.449693756849229e-08, -2.933202836175042e-07, -0.00028993492014706135, -2.020410647673998e-06, -6.921226258782553e-07, -0.006359797902405262, -0.8195490837097168, -1.017888069152832, 0.05114082247018814, -0.5027195206332274, -1.0736249407219987, 4.0745490599312335, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.047901660203933716, -0.13513045012950897, 0.04244472086429596, -0.12272809445858002, -0.016687510535120964, 0.9909815192222595, 0, 0, 0, 1.5029296875, 0.201446533203125, 1.484619140625
