timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, left wing, pitch motor, yaw motor, right wing, voltage, roll rate, pitch rate, yaw rate, A_x, A_y, A_z, current, i_raw, v_raw, airflow_voltage, airflow_speed, pot_Pitch, voltage_nKF, kFFx, state, State, volt_KF
10657, 1.1639093160629272, 1.073710560798645, -0.326285183429718, 0, 0, 0, 0, 0, 0, -0.8285746574401855, -0.9919242858886719, 0.057573579251766205, -1.3819433403977903, -0.15769995126646563, -89.28730647380061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10667, 1.1640890836715698, 1.0738589763641357, -0.32522252202033997, 3.3226577215828e-05, 3.5729863157030195e-05, -0.8407607078552246, -0.00017850397853180766, -0.00019052773131988943, -0.1866796910762787, -0.8285230994224548, -0.9919905066490173, 0.05760056897997856, -1.37858145916142, -0.1487167039456665, -89.3439366617272, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.04393482580780983, 0.2593473196029663, -0.08137582242488861, -0.082127645611763, -0.02450663596391678, 0.9980437755584717, 0, 0, 0, 1.40185546875, 0.0417938232421875, 0, 0, 0, 0, 0, 0
10677, 1.1629170179367065, 1.0724296569824219, -0.3241865038871765, 2.2214342607185245e-05, 2.393391878285911e-05, -0.8426287174224854, -0.0020239052828401327, -0.0021686949767172337, -0.18691661953926086, -0.8285706043243408, -0.991925060749054, 0.05756625533103943, -1.3885681536339674, -0.1560524770448808, -89.28616245503007, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.0025481325574219227, -0.16854973137378693, -0.016137970611453056, -0.08031481504440308, -0.026693815365433693, 0.9989410042762756, 0, 0, 0, 1.40625, 0.04620361328125, 1.48828125, 1.4267578125, 10.0, 1.0, 10.0, 1.4188371896743774
10687, 1.1629540920257568, 1.071632981300354, -0.32546284794807434, -7.2587044996907935e-06, -7.651507985428907e-06, -0.8444987535476685, -0.003870673943310976, -0.004148426931351423, -0.18709295988082886, -0.8285664916038513, -0.9919291734695435, 0.057567059993743896, -1.38695111385972, -0.15785448381740252, -89.28784316414618, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.008491148240864277, -0.21882206201553345, -0.46861302852630615, -0.07916031777858734, -0.0248736422508955, 0.9968604445457458, 0, 0, 0, 1.434814453125, 0.081787109375, 1.48828125, 1.4208984375, 10.0, 1.0, 10.0, 1.4187685251235962
10697, 1.1635533571243286, 1.0729252099990845, -0.3278893232345581, -5.518432590179145e-05, -5.9021636843681335e-05, -0.8463706970214844, -0.005714497994631529, -0.00612555630505085, -0.187297523021698, -0.8285611271858215, -0.9919251203536987, 0.0575697161257267, -1.3876940842713208, -0.16102978867255047, -89.29147935919046, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.02476409636437893, 0.12954270839691162, 0.11558031290769577, -0.07894265651702881, -0.02568625658750534, 0.9959205985069275, 0, 0, 0, 1.3828125, 0.0261077880859375, 1.49267578125, 1.421630859375, 10.0, 1.0, 10.0, 1.418745517730713
10707, 1.1632169485092163, 1.071115255355835, -0.3267918825149536, -0.00012152532144682482, -0.00013014572323299944, -0.8482455611228943, -0.007553775794804096, -0.008099179714918137, -0.18767517805099487, -0.8285662531852722, -0.9919252991676331, 0.057574376463890076, -1.3881411224701592, -0.16020149639302872, -89.28431597639101, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.22472511231899261, -0.28715863823890686, 0.2049752175807953, -0.07819245010614395, -0.0252060666680336, 0.9947037100791931, 0, 0, 0, 1.387939453125, 0.0297393798828125, 1.49267578125, 1.3857421875, 10.0, 1.0, 10.0, 1.4186999797821045
10717, 1.1621429920196533, 1.0737440586090088, -0.3250071406364441, -0.00020625842444133013, -0.00022099768102634698, -0.8501248359680176, -0.009392823092639446, -0.01007124874740839, -0.18818163871765137, -0.8285807967185974, -0.9919230937957764, 0.0575655959546566, -1.3921127719936797, -0.1651920890028009, -89.28867869693985, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.2172582745552063, 0.057114146649837494, 0.1999671459197998, -0.07860451936721802, -0.02822360210120678, 0.9983426928520203, 0, 0, 0, 1.4296875, 0.07464599609375, 1.489013671875, 1.447265625, 10.0, 1.0, 10.0, 1.4187580347061157
10727, 1.1618709564208984, 1.0741851329803467, -0.32543009519577026, -0.0003093705454375595, -0.0003315721987746656, -0.8520089387893677, -0.011229519732296467, -0.012043721973896027, -0.18864376842975616, -0.8285332918167114, -0.9919891953468323, 0.05758519470691681, -1.3793119744872397, -0.13900631771659278, -89.34321219012283, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.13731226325035095, -0.33134889602661133, -0.3936113715171814, -0.07832573354244232, -0.027438033372163773, 0.9996898174285889, 0, 0, 0, 1.39306640625, 0.0337982177734375, 1.489013671875, 1.38134765625, 10.0, 1.0, 10.0, 1.4187930822372437
10737, 1.1616898775100708, 1.0760408639907837, -0.32571789622306824, -0.0004309056093916297, -0.00046189880231395364, -0.853895902633667, -0.013077504932880402, -0.01402158010751009, -0.18874621391296387, -0.8285237550735474, -0.9919907450675964, 0.0575936958193779, -1.3840028866912484, -0.13454118579028318, -89.34829312711588, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.02163156121969223, -0.1742706596851349, 0.09157297015190125, -0.08010505884885788, -0.02695324271917343, 0.9968961477279663, 0, 0, 0, 1.387939453125, 0.0297393798828125, 1.494140625, 1.405517578125, 10.0, 1.0, 10.0, 1.418634057044983
10747, 1.1621761322021484, 1.0760024785995483, -0.32392463088035583, -0.0005709196557290852, -0.0006119965109974146, -0.8557841181755066, -0.014925305731594563, -0.01599794626235962, -0.18889862298965454, -0.8285720348358154, -0.9919193983078003, 0.05757210776209831, -1.3884899490182234, -0.14903078861925678, -89.29118894365514, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.06708121299743652, 0.35456743836402893, 0.15291647613048553, -0.07820136100053787, -0.024338901042938232, 0.997557520866394, 0, 0, 0, 1.406982421875, 0.046966552734375, 1.494140625, 1.42822265625, 10.0, 1.0, 10.0, 1.418717384338379
