timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, left wing, pitch motor, yaw motor, right wing, voltage, roll rate, pitch rate, yaw rate, A_x, A_y, A_z, current, i_raw, v_raw, airflow_voltage, airflow_speed, pot_Pitch, voltage_nKF, kFFx, volt_KF_vel, kP, volt_KF_pos
15458, -1.734124779701233, -1.5377522706985474, 2.2021872997283936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15468, -1.7355223894119263, -1.5404846668243408, 2.205397844314575, -9.222580411005765e-05, -0.00011267047375440598, -2.8309950828552246, -0.007969396188855171, -0.009736098349094391, -0.4092027544975281, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.010038367472589016, 0.061869848519563675, 0.1300984025001526, 0.002717436058446765, -0.06258542090654373, 1.0004876852035522, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15478, -1.736146330833435, -1.5406787395477295, 2.206660270690918, -0.00015933567192405462, -0.0001946846314240247, -2.835087299346924, -0.005452750250697136, -0.006666591390967369, -0.40922579169273376, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.14696621894836426, 0.018978599458932877, 0.1313900500535965, 0.004632249474525452, -0.061106178909540176, 0.9978054761886597, 0, 0, 0, 1.36962890625, 0.01910400390625, 0, 1.70068359375, 10.0, 1.468149185180664, 1.5, 1.468149185180664
15488, -1.7351326942443848, -1.5424302816390991, 2.2070631980895996, -0.00020126458548475057, -0.00024599937023594975, -2.8391799926757812, -0.0029331003315746784, -0.0035962953697890043, -0.4093075692653656, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.07672194391489029, -0.10884517431259155, -0.2771585285663605, 0.003947848919779062, -0.05769451707601547, 0.9968793392181396, 0, 0, 0, 1.048095703125, 2.033538818359375, 1.48681640625, 1.46044921875, 10.0, 1.4681247472763062, 1.5, 1.4681247472763062
15498, -1.7345606088638306, -1.5413998365402222, 2.2044055461883545, -0.0002180294832214713, -0.000266646413365379, -2.8432748317718506, -0.00041991029866039753, -0.0005330927670001984, -0.4096508026123047, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.04427150636911392, 0.028162382543087006, 0.28129875659942627, 0.0040972246788442135, -0.06172915920615196, 1.0003706216812134, 0, 0, 0, 1.5498046875, 0.3014678955078125, 1.48681640625, 1.46484375, 10.0, 1.4681143760681152, 1.5, 1.4681143760681152
15508, -1.7348291873931885, -1.5427414178848267, 2.2071826457977295, -0.00020964373834431171, -0.0002566650218795985, -2.8473730087280273, 0.0020972085185348988, 0.0025292534846812487, -0.40996599197387695, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.1982233077287674, -0.24592088162899017, -0.1310059279203415, 0.001609983155503869, -0.06272125244140625, 0.9989944696426392, 0, 0, 0, 1.585693359375, 0.383544921875, 1.491943359375, 1.6552734375, 10.0, 1.4687080383300781, 1.5, 1.4687080383300781
15518, -1.7363557815551758, -1.5425490140914917, 2.208252191543579, -0.0001760590821504593, -0.00021602264314424247, -2.851472854614258, 0.004619574639946222, 0.005599343217909336, -0.41000446677207947, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.07649187743663788, -0.0545889288187027, -0.005300623364746571, 0.0028309880290180445, -0.061559174209833145, 0.9987455606460571, 0, 0, 0, 1.752685546875, 0.817962646484375, 1.491943359375, 0.87744140625, 10.0, 1.4668327569961548, 1.5, 1.4668327569961548
15528, -1.7366565465927124, -1.5428422689437866, 2.211719512939453, -0.000117262257845141, -0.00014470296446233988, -2.855573892593384, 0.007139725610613823, 0.008664632216095924, -0.4102151691913605, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.16932567954063416, -0.19765783846378326, 0.041047170758247375, 0.0019379500299692154, -0.06212339550256729, 0.9989432692527771, 0, 0, 0, 1.122802734375, 1.00347900390625, 1.490478515625, 1.24951171875, 10.0, 1.4661434888839722, 1.5, 1.4661434888839722
15538, -1.738149642944336, -1.542155146598816, 2.214031219482422, -3.326579462736845e-05, -4.271651414455846e-05, -2.8596770763397217, 0.009659378789365292, 0.011732814833521843, -0.41042134165763855, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.12275800853967667, -0.031819578260183334, 0.19244453310966492, 0.003911877050995827, -0.06368894129991531, 0.9988512396812439, 0, 0, 0, 1.710205078125, 0.6956787109375, 1.490478515625, 1.19970703125, 10.0, 1.4652985334396362, 1.5, 1.4652985334396362
15548, -1.7370713949203491, -1.5434174537658691, 2.215472936630249, 7.593363261548802e-05, 8.996124233817682e-05, -2.8637821674346924, 0.012180380523204803, 0.014802833087742329, -0.4105890393257141, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.01635415479540825, -0.16275708377361298, 0.10959699749946594, 0.0038500225637108088, -0.06367512792348862, 0.9983406662940979, 0, 0, 0, 1.0224609375, 2.5086517333984375, 1.48974609375, 1.59228515625, 10.0, 1.4657012224197388, 1.5, 1.4657012224197388
15558, -1.737015724182129, -1.5434606075286865, 2.2156693935394287, 0.00021033271332271397, 0.00025334811653010547, -2.867888927459717, 0.014699354767799377, 0.01787460781633854, -0.41078290343284607, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, -0.04739416390657425, -0.08817294985055923, -0.08162777125835419, 0.003140578977763653, -0.062157392501831055, 0.9991018176078796, -0.06013483181595802, -0.08439826965332031, 1.489013671875, 1.69775390625, 0.6619415283203125, 1.48974609375, 1.283203125, 10.0, 1.4651224613189697, 1.5, 1.4651224613189697
15568, -1.7369786500930786, -1.5408591032028198, 2.215975522994995, 0.0003699292428791523, 0.0004474405141081661, -2.871997833251953, 0.01721993461251259, 0.020943887531757355, -0.4110006093978882, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, 0.01321337278932333, 0.03978794440627098, 0.156946063041687, 0.002050702925771475, -0.05972113460302353, 0.9998693466186523, -0.06013483181595802, -0.08439826965332031, 1.489013671875, 1.32275390625, 0.0251312255859375, 1.48974609375, 1.5791015625, 10.0, 1.4654839038848877, 1.5, 1.4654839038848877
15578, -1.7369612455368042, -1.540859341621399, 2.216524124145508, 0.0005547358305193484, 0.0006722300895489752, -2.8761088848114014, 0.019741373136639595, 0.024014048278331757, -0.4111875295639038, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, 0.033278971910476685, -0.06545568257570267, 0.08334256708621979, 0.003911010455340147, -0.05979813635349274, 1.0002081394195557, -0.06013483181595802, -0.08439826965332031, 1.489013671875, 1.69482421875, 0.6540374755859375, 1.48974609375, 1.093505859375, 10.0, 1.4643043279647827, 1.5, 1.4643043279647827
15588, -1.7368830442428589, -1.5394961833953857, 2.216916799545288, 0.0007647472666576505, 0.0009277357021346688, -2.880221128463745, 0.022260883823037148, 0.027087101712822914, -0.41127529740333557, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, 0.11889374256134033, 0.0811159610748291, 0.04978832229971886, 0.003891522763296962, -0.0640297681093216, 0.9983477592468262, -0.06013483181595802, -0.08439826965332031, 1.489013671875, 1.47802734375, 0.1532745361328125, 1.489013671875, 1.670654296875, 10.0, 1.464958667755127, 1.5, 1.464958667755127
15598, -1.7355321645736694, -1.5417282581329346, 2.218367338180542, 0.000999952550046146, 0.0012139705941081047, -2.8843343257904053, 0.024780165404081345, 0.030159881338477135, -0.4113713204860687, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, 0.1677374541759491, -0.09278301894664764, -0.07772230356931686, 0.005073109641671181, -0.062349919229745865, 0.9997183084487915, -0.06013483181595802, -0.08439826965332031, 1.489013671875, 1.147705078125, 0.7606201171875, 1.489013671875, 1.46923828125, 10.0, 1.4649722576141357, 1.5, 1.4649722576141357
15608, -1.735754132270813, -1.5426299571990967, 2.21842622756958, 0.0012603220529854298, 0.0015309115406125784, -2.888449192047119, 0.027293650433421135, 0.03322837874293327, -0.4115992486476898, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, -0.12290976196527481, -0.0011089984327554703, -0.07135948538780212, 0.003728513140231371, -0.06293083727359772, 0.9989013075828552, -0.06013483181595802, -0.08439826965332031, 1.489013671875, 1.60400390625, 0.4266204833984375, 1.490478515625, 1.204833984375, 10.0, 1.4641473293304443, 1.5, 1.4641473293304443
15618, -1.7355929613113403, -1.542061448097229, 2.2176764011383057, 0.0015458601992577314, 0.0018785449210554361, -2.8925657272338867, 0.029813986271619797, 0.03629830852150917, -0.4117124676704407, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, 0.04108274355530739, 0.06443656235933304, 0.06240169703960419, 0.0029869636055082083, -0.06310077756643295, 0.9980686902999878, -0.06013483181595802, -0.08439826965332031, 1.489013671875, 1.587158203125, 0.3869171142578125, 1.490478515625, 1.50439453125, 10.0, 1.4642750024795532, 1.5, 1.4642750024795532
15628, -1.7358958721160889, -1.5438216924667358, 2.2186686992645264, 0.0018565997015684843, 0.002256867941468954, -2.896683692932129, 0.03233395516872406, 0.03936627879738808, -0.4119010865688324, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, 0.10842495411634445, 0.005001298151910305, 0.029244789853692055, 0.00353224016726017, -0.0631699338555336, 0.996159017086029, -0.06013483181595802, -0.08439826965332031, 1.489013671875, 1.626708984375, 0.4812774658203125, 1.4912109375, 1.6171875, 10.0, 1.4647598266601562, 1.5, 1.4647598266601562
15638, -1.7352992296218872, -1.5418094396591187, 2.21826434135437, 0.0021925217006355524, 0.0026658535934984684, -2.900804042816162, 0.03485037386417389, 0.04243091121315956, -0.4121876657009125, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, 0.09363865852355957, -0.2729714810848236, 0.33007654547691345, 0.004044973757117987, -0.06474458426237106, 0.9983445405960083, -0.06013483181595802, -0.08439826965332031, 1.489013671875, 1.5087890625, 0.21337890625, 1.4912109375, 1.55859375, 10.0, 1.465057373046875, 1.5, 1.465057373046875
15648, -1.735194444656372, -1.5404669046401978, 2.2211222648620605, 0.0025536022149026394, 0.003105464391410351, -2.904928207397461, 0.03736576810479164, 0.04549122229218483, -0.41263166069984436, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, -0.21117079257965088, 0.5107185244560242, 0.05423138290643692, 0.004543130751699209, -0.0613539032638073, 0.9993606805801392, -0.06013483181595802, -0.08439826965332031, 1.489013671875, 1.63623046875, 0.504730224609375, 1.493408203125, 1.631103515625, 10.0, 1.4655838012695312, 1.5, 1.4655838012695312
15658, -1.7379794120788574, -1.544527292251587, 2.2218496799468994, 0.0029398512560874224, 0.0035757108125835657, -2.909055471420288, 0.039883896708488464, 0.04855816811323166, -0.41283130645751953, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, 0.0672110840678215, 0.24228817224502563, 0.21678036451339722, 0.004927154164761305, -0.06168374419212341, 1.0003145933151245, -0.08847811818122864, -0.01271820068359375, 1.494873046875, 1.483154296875, 0.162841796875, 1.493408203125, 1.751953125, 10.0, 1.46649169921875, 1.5, 1.46649169921875
15668, -1.7372653484344482, -1.544326663017273, 2.2200396060943604, 0.0033512774389237165, 0.004076635465025902, -2.913184404373169, 0.04240129142999649, 0.05162683129310608, -0.4129684865474701, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, -0.04915572330355644, -0.3144848048686981, -0.19314657151699066, 0.003637935034930706, -0.06184200197458267, 0.9992271661758423, -0.08847811818122864, -0.01271820068359375, 1.494873046875, 1.10302734375, 1.229583740234375, 1.491943359375, 1.241455078125, 10.0, 1.4657782316207886, 1.5, 1.4657782316207886
15678, -1.7372750043869019, -1.5420588254928589, 2.219393491744995, 0.003787918481975794, 0.004608280956745148, -2.9173145294189453, 0.04492700845003128, 0.05470222607254982, -0.41304925084114075, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, -0.19898930191993713, 0.009941648691892624, -0.21951551735401154, 0.0022606896236538887, -0.060204971581697464, 0.9998793601989746, -0.08847811818122864, -0.01271820068359375, 1.494873046875, 1.43994140625, 0.089324951171875, 1.491943359375, 1.5380859375, 10.0, 1.4660074710845947, 1.5, 1.4660074710845947
15688, -1.7379616498947144, -1.540041208267212, 2.217139482498169, 0.0042498051188886166, 0.005170661024749279, -2.921445846557617, 0.04745035991072655, 0.05777379497885704, -0.4132115840911865, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, 0.04094082862138748, -0.18487238883972168, 0.048208411782979965, 0.003034919034689665, -0.06247524172067642, 0.9989769458770752, -0.08847811818122864, -0.01271820068359375, 1.494873046875, 1.30810546875, 0.0388031005859375, 1.4912109375, 1.37109375, 10.0, 1.4657065868377686, 1.5, 1.4657065868377686
15698, -1.7377368211746216, -1.538643717765808, 2.218095541000366, 0.004736917559057474, 0.005763770081102848, -2.9255783557891846, 0.049972228705883026, 0.060847897082567215, -0.41328537464141846, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, -0.18132621049880981, 0.1419535130262375, -0.00910462811589241, 0.0037898728623986244, -0.06164608523249626, 0.9974192976951599, -0.08847811818122864, -0.01271820068359375, 1.494873046875, 1.695556640625, 0.656097412109375, 1.4912109375, 1.680908203125, 10.0, 1.4663888216018677, 1.5, 1.4663888216018677
15708, -1.7377108335494995, -1.5392307043075562, 2.217564344406128, 0.00524921715259552, 0.006387606728821993, -2.9297120571136475, 0.05248761177062988, 0.06391949206590652, -0.4134734570980072, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, 0.088133804500103, -0.2673030495643616, -0.3026469349861145, 0.0024290739092975855, -0.061004888266325, 0.9995410442352295, -0.08847811818122864, -0.01271820068359375, 1.494873046875, 1.6962890625, 0.657958984375, 1.490478515625, 1.556396484375, 10.0, 1.4666742086410522, 1.5, 1.4666742086410522
15718, -1.7364345788955688, -1.5379186868667603, 2.2164223194122314, 0.0057866452261805534, 0.007042141165584326, -2.9338481426239014, 0.054998017847537994, 0.06698738038539886, -0.41376417875289917, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, -0.02967042289674282, -0.25856342911720276, 0.006995514500886202, 0.0042579276487231255, -0.061509110033512115, 1.00020432472229, -0.08847811818122864, -0.01271820068359375, 1.494873046875, 1.70654296875, 0.68560791015625, 1.490478515625, 1.095703125, 10.0, 1.4654982089996338, 1.5, 1.4654982089996338
15728, -1.7377736568450928, -1.5363733768463135, 2.215665102005005, 0.00634920597076416, 0.007727382704615593, -2.937986373901367, 0.05751417949795723, 0.07006093859672546, -0.41387251019477844, 0, 0, 0, 0, 0, 0, 9362.0, 30146.0, 35388.0, 9362.0, 8.370248794555664, -0.06857666373252869, 0.17865905165672302, 0.35475534200668335, 0.0038135508075356483, -0.06214528530836105, 0.998073160648346, -0.08847811818122864, -0.01271820068359375, 1.494873046875, 1.5615234375, 0.3278350830078125, 1.490478515625, 1.50146484375, 10.0, 1.4656121730804443, 1.5, 1.4656121730804443
