timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, left wing, pitch motor, yaw motor, right wing, voltage, roll rate, pitch rate, yaw rate, A_x, A_y, A_z, current, i_raw, v_raw, airflow_voltage, airflow_speed, pot_Pitch, voltage_nKF, kFFx, state, State, volt_KF
13184, -0.1725291609764099, 1.6420050859451294, -0.5372352004051208, 0, 0, 0, 0, 0, 0, -0.8183898329734802, -0.977599561214447, 0.05906878784298897, 0.1625157637646011, -0.31275376152075296, 0.19323673750660622, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13194, -0.17237192392349243, 1.6420358419418335, -0.538543164730072, 0.0003225429099984467, -3.7109530239831656e-05, -3.8132379055023193, 0.013324970379471779, -0.0015335236676037312, -0.6599447131156921, -0.8183782696723938, -0.9774879813194275, 0.059065673500299454, 0.17853002736839724, -0.3059578535922469, 0.13155309311607133, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.1226082518696785, 0.018848014995455742, -0.07698234915733337, -0.09274819493293762, -0.029562951996922493, 0.9931703209877014, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13204, -0.17093193531036377, 1.6416674852371216, -0.539520800113678, 0.000441808660980314, -5.0842536438722163e-05, -3.8198394775390625, 0.010528188198804855, -0.0012130126124247909, -0.6603801250457764, -0.8183895349502563, -0.9774829745292664, 0.059060245752334595, 0.17931709892587613, -0.3126217001790508, 0.12825185060996033, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.0524822361767292, 0.35261374711990356, 0.06409485638141632, -0.09535648673772812, -0.0294586643576622, 0.9924169182777405, 0, 0, 0, 1.408447265625, 0.0485382080078125, 0, 1.32568359375, 10.0, 1.0, 10.0, 1.405171513557434
13214, -0.17118488252162933, 1.6400682926177979, -0.5384545922279358, 0.0005331425927579403, -6.137559830676764e-05, -3.826446771621704, 0.007738595362752676, -0.000893537187948823, -0.6610683798789978, -0.818376898765564, -0.9774889945983887, 0.05906014144420624, 0.1805781670209812, -0.3102058384986037, 0.12655828125135132, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.05917355790734291, -0.09917886555194855, 0.02879847027361393, -0.09492545574903488, -0.030190501362085342, 0.996231198310852, 0, 0, 0, 1.427490234375, 0.0716400146484375, 1.496337890625, 1.332275390625, 10.0, 1.0, 10.0, 1.4049848318099976
13224, -0.1716591864824295, 1.6408569812774658, -0.5392729043960571, 0.0005965911550447345, -6.872678932268173e-05, -3.8330612182617188, 0.004951085429638624, -0.0005767563125118613, -0.6618090867996216, -0.8183209896087646, -0.9776622653007507, 0.05911683663725853, 0.18038435688100568, -0.3048482563811774, 0.20972719489545513, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.0930306538939476, 0.01891924999654293, 0.13925781846046448, -0.09438082575798035, -0.027773559093475342, 0.9959238767623901, 0, 0, 0, 1.27587890625, 0.092620849609375, 1.496337890625, 1.437744140625, 10.0, 1.0, 10.0, 1.4048292636871338
13234, -0.17238660156726837, 1.6408324241638184, -0.5381742119789124, 0.0006321314140222967, -7.290308712981641e-05, -3.839681386947632, 0.0021569726523011923, -0.0002584659378044307, -0.6622228026390076, -0.8183879256248474, -0.9775993227958679, 0.0590691864490509, 0.16984817772796384, -0.3144462665472929, 0.18790268208745414, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.07545171678066254, 0.09709051251411438, -0.21280314028263092, -0.09486943483352661, -0.029653679579496384, 0.9942538142204285, 0, 0, 0, 1.241455078125, 0.192626953125, 1.49560546875, 1.365966796875, 10.0, 1.0, 10.0, 1.4045615196228027
13244, -0.17104999721050262, 1.6393643617630005, -0.5392331480979919, 0.0006397271063178778, -7.389254460576922e-05, -3.8463058471679688, -0.0006378390244208276, 6.0516314988490194e-05, -0.6626593470573425, -0.8183714151382446, -0.9775397777557373, 0.05906335636973381, 0.20834367577074983, -0.3210490390862901, 0.12672057478405105, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.28966474533081055, 0.2574673891067505, -0.00465021189302206, -0.09544402360916138, -0.02996986359357834, 0.9934446811676025, 0, 0, 0, 1.33740234375, 0.0175323486328125, 1.49560546875, 1.36962890625, 10.0, 1.0, 10.0, 1.4045435190200806
13254, -0.1726154088973999, 1.6367521286010742, -0.5392164587974548, 0.0006193933077156544, -7.168835873017088e-05, -3.852935314178467, -0.003428919706493616, 0.00038038313505239785, -0.6632242798805237, -0.8183746933937073, -0.9775905013084412, 0.05907723680138588, 0.16448582641716045, -0.31488572610862775, 0.19224478808112808, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.1465451717376709, -0.28686702251434326, 0.005010033026337624, -0.09724113345146179, -0.028441820293664932, 0.9908239841461182, 0, 0, 0, 1.380615234375, 0.024749755859375, 1.496337890625, 1.39013671875, 10.0, 1.0, 10.0, 1.4045466184616089
13264, -0.17196741700172424, 1.6384574174880981, -0.5400636792182922, 0.0005711772828362882, -6.629857671214268e-05, -3.8595709800720215, -0.006214316468685865, 0.0006975565338507295, -0.6639019846916199, -0.8183687925338745, -0.977636992931366, 0.05906589329242706, 0.19322205270837264, -0.3231077685984758, 0.18187712530052633, 9362.0, 30146.0, 35388.0, 9362.0, 0, -0.032583992928266525, -0.022857442498207092, 0.10160402953624725, -0.09425275772809982, -0.027784792706370354, 0.9925320148468018, 0, 0, 0, 1.423095703125, 0.06591796875, 1.496337890625, 1.305908203125, 10.0, 1.0, 10.0, 1.4044559001922607
13274, -0.17271465063095093, 1.6383894681930542, -0.5393574237823486, 0.0004951591836288571, -5.772736039943993e-05, -3.8662145137786865, -0.008989276364445686, 0.0010167364962399006, -0.6647867560386658, -0.8183698058128357, -0.9776352643966675, 0.05907273665070534, 0.1912702394612324, -0.32152689450180105, 0.18889606900404912, 9362.0, 30146.0, 35388.0, 9362.0, 0, 0.30542561411857605, 0.41503921151161194, 0.058106429874897, -0.09451345354318619, -0.029239630326628685, 0.9959815144538879, 0, 0, 0, 1.44287109375, 0.0936279296875, 1.48974609375, 1.382080078125, 10.0, 1.0, 10.0, 1.4039572477340698
