timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, left wing, pitch motor, yaw motor, right wing, voltage, roll rate, pitch rate, yaw rate, A_x, A_y, A_z, current, i_raw, v_raw, airflow_voltage, airflow_speed, pot_Pitch, voltage_nKF, kFFx, state, State, volt_KF
74316, -1.7394300699234009, 1.4465819597244263, -171.27725219726562, -0.8160607218742371, -0.9304957389831543, 1.1042531728744507, 0.08538354188203812, -0.03112352266907692, -0.01894368603825569, -0.8241888284683228, -0.9311853051185608, 1.1041523218154907, -0.6503062767556151, 3.3499506846340523, -178.48465715154896, 38887.0, 30927.0, 41236.0, 40823.0, 7.636364459991455, 37.896480560302734, 3.143444061279297, -307.5766296386719, 0.6999178528785706, 0.3732794523239136, -0.2890564501285553, 1.3330016136169434, 1.1520767211914062, 1.590087890625, 1.5615234375, 0.3278350830078125, 1.458251953125, 1.6025390625, 10.0, 1.0, 10.0, 1.6071009635925293
74326, -1.2916065454483032, 0.906568169593811, -167.34922790527344, -0.8160607218742371, -0.9304957389831543, 1.1042531728744507, 0.08538354188203812, -0.03112352266907692, -0.01894368603825569, -0.8233552575111389, -0.9265842437744141, 1.1033823490142822, 1.6124213019112072, 4.6077767249106785, 178.70855400262377, 40968.0, 28903.0, 31006.0, 38763.0, 7.636364459991455, 79.02367401123047, 27.294431686401367, 231.87330627441406, 0.6999178528785706, 0.3732794523239136, -0.2890564501285553, 1.3330016136169434, 1.1520767211914062, 1.590087890625, 1.5615234375, 0.3278350830078125, 1.458251953125, 1.6025390625, 10.0, 1.0, 10.0, 1.6071009635925293
74336, -0.8850927948951721, 0.7517386078834534, -172.7176513671875, -0.8160607218742371, -0.9304957389831543, 1.1042531728744507, 0.08538354188203812, -0.03112352266907692, -0.01894368603825569, -0.8234045505523682, -0.92418372631073, 1.1035020351409912, -1.1948002828687458, 5.575665716391285, 174.11336038532755, 40968.0, 28903.0, 31006.0, 38763.0, 7.636364459991455, 9.189021110534668, 22.838199615478516, -844.4540405273438, -0.3135620653629303, -0.6425175666809082, 1.116241216659546, 1.3330016136169434, 1.1520767211914062, 1.590087890625, 1.5908203125, 0.395538330078125, 1.458251953125, 1.6025390625, 10.0, 1.0, 10.0, 1.6071009635925293
74356, 0.0463394820690155, 1.4705225229263306, 177.72230529785156, -0.8138675689697266, -0.93087238073349, 1.105514645576477, 0.09282639622688293, -0.03997790813446045, 0.023026395589113235, -0.8236456513404846, -0.926141619682312, 1.1030669212341309, 0.27714784356184674, 5.124601113718768, 164.17728411738491, 40968.0, 28903.0, 31006.0, 38763.0, 7.636364459991455, -177.8314971923828, -79.0786361694336, -1174.399658203125, -0.05963316559791565, 1.0771254301071167, 1.1434203386306763, 1.3330016136169434, 1.1520767211914062, 1.590087890625, 1.593017578125, 0.400604248046875, 1.4794921875, 1.6025390625, 10.0, 1.0, 10.0, 1.6071009635925293
74376, -0.5220455527305603, 1.9686262607574463, 173.71441650390625, -0.8119717240333557, -0.9316712021827698, 1.105660080909729, 0.09828053414821625, -0.0412854366004467, 0.023173898458480835, -0.8246104121208191, -0.9283307194709778, 1.1027642488479614, -0.20697851779870402, 4.283321205542137, 170.44741863654593, 40968.0, 28903.0, 31006.0, 38763.0, 7.616529941558838, 82.81083679199219, -15.052959442138672, -461.251220703125, -0.21991337835788727, 0.26193395256996155, 0.006238040514290333, 1.3291670083999634, 1.6627941131591797, 1.6318359375, 1.54248046875, 0.28521728515625, 1.4794921875, 1.6025390625, 10.0, 1.0, 10.0, 1.6071009635925293
74386, -0.3381515443325043, 1.565596103668213, 169.58363342285156, -0.8119717240333557, -0.9316712021827698, 1.105660080909729, 0.09828053414821625, -0.0412854366004467, 0.023173898458480835, -0.8246283531188965, -0.9320098757743835, 1.102035641670227, -2.3651021968796915, 4.726842615521889, 176.72960384047252, 40039.0, 28786.0, 30406.0, 39504.0, 7.616529941558838, 82.81083679199219, -15.052959442138672, -461.251220703125, 0.25944724678993225, 0.13852941989898682, 0.34202149510383606, 1.3291670083999634, 1.6627941131591797, 1.6318359375, 1.587890625, 0.38861083984375, 1.4794921875, 1.6025390625, 10.0, 1.0, 10.0, 1.6071009635925293
74396, 0.795805811882019, 0.8364748358726501, 172.6689453125, -0.8119717240333557, -0.9316712021827698, 1.105660080909729, 0.09828053414821625, -0.0412854366004467, 0.023173898458480835, -0.8264801502227783, -0.9281420707702637, 1.1014201641082764, 0.8155841490392243, 4.289059545388568, -174.9965370507634, 40039.0, 28786.0, 30406.0, 39504.0, 7.616529941558838, 92.36079406738281, 42.07316207885742, 405.84112548828125, -0.2016533762216568, -1.2839158773422241, 2.5749032497406006, 1.3291670083999634, 1.6627941131591797, 1.6318359375, 1.59375, 0.4024658203125, 1.4794921875, 1.6025390625, 10.0, 1.0, 10.0, 1.6071009635925293
74416, 1.2500579357147217, 1.0722967386245728, -178.35809326171875, -0.8119401931762695, -0.9322908520698547, 1.106137990951538, 0.09917095303535461, -0.04028499871492386, 0.09820280969142914, -0.8275716304779053, -0.9320555329322815, 1.1013293266296387, -8.321228196587892, 1.8001170476754282, -164.0914478840595, 38684.0, 30689.0, 41124.0, 40777.0, 7.616529941558838, 7.421598434448242, -68.0150146484375, 23.610130310058594, -0.8430309891700745, -1.118593692779541, 0.1498892456293106, 1.3291670083999634, 1.6627941131591797, 1.6318359375, 1.5732421875, 0.354736328125, 1.509521484375, 1.6025390625, 10.0, 1.0, 10.0, 1.6071009635925293
74436, -1.952826976776123, 0.8117063045501709, -169.8918914794922, -0.8099399209022522, -0.933097243309021, 1.1067142486572266, 0.10211304575204849, -0.039707958698272705, 0.020556030794978142, -0.8269094228744507, -0.9297192096710205, 1.099810242652893, -1.4194145443355612, 3.604400134568465, -169.53943576816133, 38684.0, 30689.0, 41124.0, 40777.0, 7.616529941558838, -5.172735691070557, 12.515179634094238, 792.18212890625, 0.9191557765007019, 1.9059704542160034, 1.3864001035690308, 1.3291670083999634, 1.6627941131591797, 1.6318359375, 1.610595703125, 0.442352294921875, 1.53662109375, 1.6025390625, 10.0, 1.0, 10.0, 1.6071009635925293
74456, -0.7960555553436279, 0.7007988095283508, -167.4524383544922, -0.8115754127502441, -0.9322670102119446, 1.1075923442840576, 0.0974082201719284, -0.04043345898389816, 0.03663192316889763, -0.826694130897522, -0.9259800910949707, 1.0986446142196655, 0.7391482624781094, 4.383905630249586, 179.2997015825246, 38684.0, 30689.0, 41124.0, 40777.0, 7.616529941558838, 85.07133483886719, 35.65995407104492, 428.9390563964844, 0.17308534681797028, -0.057802729308605194, 1.294838786125183, 1.3291670083999634, 1.6627941131591797, 1.6318359375, 1.60546875, 0.43011474609375, 1.53662109375, 1.6025390625, 10.0, 1.0, 10.0, 1.6071009635925293
